Message Number,Time,Latitude,Longitude,Pressure,Temperature
33,Thu May 13 00:31:52 2021,71.323647,-156.61247,103094.96,-3.69
34,Fri May 14 00:31:36 2021,71.323471,-156.61234,102630.27,-3.63
35,Sat May 15 00:32:05 2021,71.32325,-156.61237,102123.77,-1.81
36,Sun May 16 00:32:02 2021,71.323334,-156.61203,101766.89,-0.88
37,Mon May 17 00:31:53 2021,71.323311,-156.6124,101725.48,-0.63
38,Tue May 18 00:32:25 2021,71.323311,-156.61247,101696.17,4.63
39,Wed May 19 00:31:48 2021,71.32328,-156.61223,102111.1,4.75
40,Thu May 20 00:32:31 2021,71.323143,-156.61157,102268.3,4.63
41,Fri May 21 00:32:32 2021,71.323341,-156.61237,101781.63,4.44
42,Sat May 22 00:31:56 2021,71.323036,-156.61217,100648.91,2.0
43,Sun May 23 00:32:02 2021,71.323303,-156.61227,101122.95,4.81
44,Mon May 24 00:32:00 2021,71.323318,-156.61217,102550.83,1.94
45,Tue May 25 00:32:05 2021,71.323303,-156.61241,103535.52,0.75
46,Wed May 26 00:32:18 2021,71.32325,-156.61227,102967.13,1.69
